award_id,cancelled_trump,title,directorate,start_date,year,state,org_name,end_date,award_amount
"=""2132729""",no,I-Corps: Software Platform for the Assessment and Measurement of Port Disruptions,TI,06/01/2021,2021,IL,University of Illinois at Urbana-Champaign,11/30/2021,50000.0
"=""2106978""",no,Collaborative Research: CNS Core: Medium: Towards Understanding and Handling Problems Due to Coexistence of Multiple IoT Platforms,CNS,06/01/2021,2021,PA,Temple University,12/31/2021,300000.0
"=""2130872""",no,Emergent Properties of Cancer Square Table,DMS,06/01/2021,2021,NY,Syracuse University,11/30/2021,99036.0
"=""2105773""",no,Collaborative Research: CNS Core: Medium: A Unified Prefetch Framework for Approximation-Tolerant Interactive Applications,CNS,06/01/2021,2021,CA,University of California-Los Angeles,10/31/2021,199999.0
"=""2131820""",no,I-Corps: A home-based kit for monitoring melatonin profile in insomnia patients,TI,05/15/2021,2021,MI,Regents of the University of Michigan - Ann Arbor,10/31/2021,50000.0
"=""2047655""",no,CAREER: AutoEdge: Deep Reinforcement Learning Methods and Systems for Network Automation at Wireless Edge,CNS,05/15/2021,2021,NC,University of North Carolina at Charlotte,11/30/2021,88188.0
"=""2110037""",no,SBIR Phase I:  Physiological Brain Measurement for Anxiety Assessment and Trending,TI,05/15/2021,2021,PA,COGWEAR LLC,12/31/2021,256000.0
"=""2035588""",no,SBIR Phase I:  Improved Catalysts for Sanitizer Ethanol Production (COVID-19),TI,05/15/2021,2021,NY,"AIR COMPANY HOLDINGS, INC.",10/31/2021,256000.0
"=""2121677""",no,NSF Convergence Accelerator Workshop: Coastal Biocultural Restoration as a Nexus for Innovation,OIA,05/15/2021,2021,HI,PURPLE MAI`A FOUNDATION,10/31/2021,99277.0
"=""2044430""",no,CAREER: Scheduling Driving Sensing and Control Nodes in Nonlinear Networks with Applications to Fuel-Free Energy Systems,CMMI,05/01/2021,2021,TX,University of Texas at San Antonio,10/31/2021,526527.0
"=""2122643""",no,NSF Convergence Accelerator Workshop -- Accelerating Translational Materials R&D for Global Challenges,OIA,05/01/2021,2021,NY,IBM Thomas J Watson Research Center,10/31/2021,77000.0
"=""2043706""",no,"DDRIG: From SARS to COVID-19: Nursing, Knowledges, and Trauma",SES,05/01/2021,2021,NY,Cornell University,10/31/2021,12600.0
"=""2039026""",no,"Collaborative Research: CPS: Medium: Wildland Fire Observation, Management, and Evacuation using Intelligent Collaborative Flying and Ground Systems",CNS,05/01/2021,2021,AZ,Northern Arizona University,12/31/2021,649890.0
"=""2042516""",no,CAREER: Developing New Computational Methods to Address the Missing Data Problem in Population Genomics,DBI,05/01/2021,2021,CA,California State University San Marcos Corporation,09/30/2021,484170.0
"=""2101278""",no,"SBIR Phase I:  A Rapid, Sensitive Pathogen Typing and Antibiotic Sensitivity Test for Bloodstream Infections (COVID-19)",TI,05/01/2021,2021,NC,Kepley Biosystems Incorporated,12/31/2021,255834.0
"=""2111704""",no,SBIR Phase I:  Preclinical Validation of an Ocular Antioxidant Enhancing Gene Delivery Vehicle to Target Dry Macular Degeneration,TI,05/01/2021,2021,CA,OCULOGENEX,10/31/2021,256000.0
