award_id,cancelled_trump,title,directorate,start_date,state,org_name,end_date,year,award_amount
"=""1920363""",yes,MRI: Acquisition of a metal additive manufacturing system for multi-disciplinary research and education,CMMI,09/01/2019,CA,San Jose State University Foundation,08/31/2020,2020,326960.0
"=""2001093""",yes,NSF Student Travel Grant for 2019 ACM Conference on Computer and Communications Security (ACM CCS),CNS,09/01/2019,GA,"Georgia State University Research Foundation, Inc.",06/30/2020,2020,25000.0
"=""1905511""",yes,Shape-Morphing Living Composites,DMR,09/01/2019,TX,University of Texas at Dallas,08/31/2020,2020,462234.0
"=""1941574""",yes,Workshop: The Need for a New National Longitudinal Survey of Youth,SES,09/01/2019,OH,"OHIO STATE UNIVERSITY, THE",11/30/2020,2020,49985.0
"=""1939394""",yes,CyberCorps: Scholarships for Service (SFS) Program Monitoring System,DGE,09/01/2019,DC,"PERSONNEL MANAGEMENT, U S OFFICE OF",09/30/2020,2020,1499000.0
"=""1930744""",yes,"Symposium SICB 2020:  How plants vs. animals solve physical problems, Austin, Texas,  January 3-7, 2020",IOS,09/01/2019,CA,California State University-Fresno Foundation,08/31/2020,2020,10000.0
"=""1950045""",yes,FY 20 HRLoB,HRM,09/01/2019,DC,"PERSONNEL MANAGEMENT, U S OFFICE OF",03/31/2020,2020,68478.0
"=""1926745""",yes,"Student Housing and Student Program Support for the 51st North  American Power Symposium, Wichita, KS, October 13-15, 2019",ECCS,09/01/2019,KS,Wichita State University,08/31/2020,2020,25000.0
"=""1903405""",yes,CBET-EPSRC Efficient Surrogate Modeling for Sustainable Management of Complex Seawater Intrusion-Impacted Aquifers,CBET,09/01/2019,MI,Michigan Technological University,03/31/2020,2020,319950.0
"=""1945305""",yes,RAPID: Short-period Seismic Study of Actively Serpentinizing Lithosphere in the Oman Ophiolite,EAR,09/01/2019,MA,Woods Hole Oceanographic Institution,08/31/2020,2020,119901.0
"=""1937135""",yes,Planning Grant: Engineering Research Center for Sustainable Urban Ecosystems,EEC,09/01/2019,TX,University of Texas at San Antonio,12/31/2020,2020,100000.0
"=""1908825""",yes,Reasoning Language for Teaching Secondary Algebra,DRL,09/01/2019,TX,University of Texas at San Antonio,12/31/2019,2019,444474.0
"=""1927645""",yes,Collaborative Research: TERRG: Thresholds in ecosystem responses to rainfall gradients,DEB,09/01/2019,TX,Texas A&M University Corpus Christi,10/31/2020,2020,926680.0
"=""1947523""",yes,NSF/U.S. Census Bureau FY 2020 Survey of State Government Research and Development Interagency Agreement,NCSE,09/01/2019,DC,Bureau of the Census,09/30/2020,2020,424000.0
"=""1933403""",yes,"Complex Analysis: Techniques, Applications and Computations",DMS,09/01/2019,CA,University of California-San Diego,08/31/2020,2020,26000.0
"=""1936884""",yes,Convergence Accelerator Phase I(RAISE): Network for Equity in the Era of Driverless Vehicles,ITE,09/01/2019,MI,Regents of the University of Michigan - Ann Arbor,12/31/2020,2020,948182.0
"=""1753676""",yes,Collaborative Research: A Seismic Study of Oceanic-Arc Crustal Construction Processes at the Archetypal Andreanof Segment of the Aleutian Arc,OCE,09/01/2019,NY,Columbia University,06/30/2020,2020,191421.0
"=""1928616""",yes,FW-HTF-P: Impact of AI Robotics on Labor (AIRL),SES,09/01/2019,MA,Harvard University,12/31/2020,2020,149996.0
"=""1939986""",yes,Eager: Tuning Performance in Perovskite Thermoelectric Devices with Organic Radical Dopants,ECCS,09/01/2019,IN,Purdue University,08/31/2020,2020,116258.0
"=""1931966""",yes,Enhancing Quantum Efficiency of Thin Film Solar Cells via Joint Characterization of Radiation and Recombination,CBET,09/01/2019,TX,Texas A&M Engineering Experiment Station,12/31/2020,2020,405615.0
"=""1928852""",yes,2019 NSBP Annual Conference,DMR,09/01/2019,VA,"Associated Universities, Inc.",08/31/2020,2020,377100.0
"=""1856571""",yes,Collaborative Research:  Camponotine Ants and their Little Helpers: Phylogenomics of a Hyperdiverse Insect Clade and its Bacterial Endosymbionts (CAnBE),DEB,09/01/2019,NC,North Carolina State University,03/31/2020,2020,340725.0
"=""1937121""",yes,PLANNING GRANT: Engineering Research Center for Empathetically Engineered Profitable Housing (CEEPH),EEC,09/01/2019,MS,Mississippi State University,08/31/2020,2020,99935.0
"=""1947215""",yes,Convergence Accelerator Phase I: EAGER: Designing Curriculum for Convergence Accelerator Pilot and Workshops,ITE,09/01/2019,CA,IDEO LP,08/31/2020,2020,0.0
"=""1918294""",yes,Doctoral Dissertation Research: Flood Infrastructure and Heritage Preservation in the South Carolina Lowcountry,BCS,09/01/2019,CA,University of California-Santa Cruz,01/31/2021,2021,25200.0
"=""1933116""",yes,RAPID: Influence on Beliefs in Non-Scientific Theories,SES,09/01/2019,IA,Iowa State University,08/31/2020,2020,38250.0
"=""1855757""",yes,Descriptive Inner Model Theory and Its Applications,DMS,09/01/2019,TX,University of North Texas,03/31/2020,2020,2278.0
"=""2016487""",yes,Bilateral BBSRC-NSF/BIO: Bayesian Quantitative Proteomics,DBI,09/01/2019,PA,University of Pennsylvania,08/31/2020,2020,98079.0
"=""1845197""",yes,CAREER: Synergy-based Human Machine Interfaces,IIS,09/01/2019,NJ,Stevens Institute of Technology,12/31/2020,2020,191010.0
"=""1933457""",yes,Collaborative Research: Discoveries in Multiphase Detonations: Fuel Droplet Processing at Extreme Conditions,CBET,09/01/2019,MO,University of Missouri-Columbia,10/31/2020,2020,250316.0
"=""1941097""",yes,Integrated Acquisition Environment,BFA,09/01/2019,DC,"GSA, OFFICE OF ACQUISITION SYSTEMS",09/30/2020,2020,944275.0
"=""1914797""",yes,Instabilities in Particle-laden Stratified Fluids in Hele-Shaw Cells,CBET,09/01/2019,MO,William Jewell College,07/31/2020,2020,179016.0
"=""1757307""",yes,"Multidisciplinary Conference on Election Auditing: Cambridge, Massachusetts - December 2018",SES,09/01/2019,MA,Massachusetts Institute of Technology,08/31/2020,2020,43615.0
